ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback,day_chg,mt_state,mt_spread_pct,mt_ema_fast,mt_ema_slow
O,180,2.12,14.58,0.1454,True,True,True,True,False,False,True,False,False,61.12,62.69,59.93,59.12,-8.7,-1.29,-4.5,False,-1.36,BULL,1.96,62.34,61.15
PCG,181,2.09,22.45,0.0929,False,True,True,True,False,False,True,False,False,16.13,17.29,16.56,16.19,-15.4,0.37,-4.0,False,-4.05,BULL,0.89,16.87,16.72
PFE,182,2.06,12.69,0.1622,False,True,True,True,False,False,True,False,False,25.33,26.55,25.42,24.96,-9.8,-1.36,-2.9,False,-1.63,BULL,1.47,26.16,25.78
EQR,183,1.95,13.78,0.1413,True,False,False,True,True,False,True,False,False,63.88,61.71,60.97,61.32,-6.7,-2.53,-3.6,True,-1.75,FRESH_BULL,0.89,62.5,61.95
HPQ,184,1.81,17.34,0.1043,False,False,False,False,True,False,False,True,False,20.81,19.65,21.49,22.69,-26.4,-8.25,-8.2,True,0.19,BEAR,-2.99,20.3,20.92
CRWD,185,1.69,27.7,0.0611,True,True,True,False,True,True,True,True,False,594.08,442.54,464.05,460.47,0.0,12.56,0.0,False,2.44,FRESH_BULL,2.28,464.13,453.81
DOV,186,1.53,14.6,0.105,True,True,True,True,False,True,True,False,False,210.77,215.26,203.14,195.59,-9.5,-4.12,-7.2,False,-1.67,BULL,3.19,215.26,208.61
MSI,187,1.48,19.38,0.0763,False,False,True,True,False,False,True,False,False,393.28,439.46,416.87,427.65,-19.1,2.42,-10.2,False,-1.52,FRESH_BEAR,-0.16,424.33,425.0
BIIB,188,1.48,14.59,0.1017,True,True,True,True,True,True,True,False,False,192.95,185.39,177.02,167.72,-5.7,-0.26,-5.7,False,0.83,BULL,3.29,185.03,179.15
PANW,189,1.29,25.5,0.0507,True,False,False,False,True,True,True,True,False,242.83,175.6,183.55,185.64,0.0,16.81,0.0,False,1.94,FRESH_BULL,2.08,185.32,181.55
DOC,190,1.25,15.07,0.0833,True,False,True,True,True,False,True,True,False,19.36,17.17,16.98,17.02,-2.1,-1.43,-2.1,True,-1.02,FRESH_BULL,1.72,17.51,17.21
HAS,191,1.19,14.35,0.0832,True,True,True,True,True,True,True,False,False,95.25,93.53,87.51,84.69,-9.5,-2.59,-2.6,True,-0.42,BULL,4.18,93.96,90.19
T,192,1.17,18.07,0.0646,False,False,False,True,False,False,True,False,False,24.03,26.71,25.65,26.12,-16.6,-4.49,-7.9,False,-2.52,FRESH_BEAR,-0.14,26.14,26.18
L,193,0.96,9.2,0.1048,False,True,True,True,False,False,True,False,False,105.8,108.14,105.95,103.66,-6.0,1.24,-0.4,False,0.57,BULL,1.51,107.75,106.14
DGX,194,0.89,12.34,0.0718,False,True,True,True,False,False,True,False,False,186.61,195.03,188.66,186.08,-11.6,-0.42,-2.6,False,-0.71,BULL,1.17,192.13,189.91
TPR,195,0.84,15.95,0.0524,False,True,True,True,False,True,True,False,False,129.32,143.3,131.35,125.24,-19.2,-3.12,-13.1,False,-0.71,BULL,3.99,140.3,134.92
BMY,196,0.78,10.33,0.0754,True,True,True,True,False,True,True,False,False,57.0,58.31,53.88,51.57,-7.7,1.5,-0.7,False,0.41,BULL,3.25,57.74,55.92
QCOM,198,0.69,25.94,0.0268,True,False,True,False,True,True,True,True,False,201.49,148.98,157.71,157.72,-15.2,-8.03,-15.2,True,0.7,FRESH_BULL,3.73,163.32,157.44
SNA,199,0.66,7.57,0.0869,True,True,True,True,False,False,True,False,False,359.65,371.86,358.93,350.65,-8.0,-3.84,-6.9,False,-1.83,BULL,1.95,370.31,363.21
AIG,200,0.66,8.37,0.079,False,False,False,False,False,False,True,False,False,76.11,76.21,77.31,77.6,-11.6,-0.33,-3.0,False,0.53,BEAR,-0.54,76.7,77.12
JNJ,201,0.59,11.05,0.0531,True,True,True,True,False,True,True,False,False,226.71,234.51,218.73,207.87,-8.8,2.44,-1.8,False,-1.77,BULL,3.31,230.1,222.73
FAST,202,0.52,8.76,0.0591,False,False,True,True,False,False,True,False,False,43.26,45.11,43.29,44.32,-12.8,-2.06,-3.6,False,-1.64,BULL,0.87,44.77,44.38
CCI,203,0.49,8.91,0.055,False,False,False,False,True,False,True,False,False,86.66,85.99,87.31,89.36,-21.2,-4.32,-5.3,True,-0.74,BEAR,-0.64,87.07,87.63
FE,205,0.44,10.13,0.043,False,True,True,True,False,False,True,False,False,43.82,48.67,46.73,45.72,-14.7,-1.15,-5.4,False,-1.53,BULL,0.92,47.35,46.92
NWS,206,0.38,11.42,0.0333,False,False,False,False,True,False,True,True,False,29.74,28.92,29.0,30.03,-14.9,-5.01,-5.0,True,-1.13,FRESH_BULL,0.07,29.31,29.29
PEP,207,0.32,9.26,0.0347,False,True,True,True,False,False,True,False,False,149.12,155.14,151.23,148.61,-11.8,-3.56,-4.6,False,0.3,BULL,1.3,154.85,152.86
