ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback
EBAY,71,38.78,77.03,0.5035,True,False,True,True,True,True,True,True,False,116.13,98.68,90.99,91.34,0.0,7.84,0.0,False
KIM,72,37.75,53.61,0.704,True,True,True,True,False,False,True,False,False,23.0,23.18,21.59,21.47,-4.9,-2.04,-3.4,False
VRSN,73,36.83,77.02,0.4782,True,False,False,True,True,True,True,True,False,297.57,263.09,249.25,255.28,-1.8,3.25,0.0,False
LIN,74,36.68,50.59,0.725,True,False,True,True,True,True,True,True,False,506.11,497.11,458.51,461.42,-1.4,2.63,-1.4,False
FDX,75,36.3,72.35,0.5017,True,True,True,True,True,True,True,False,False,375.78,369.48,321.34,297.92,-6.8,-0.74,-1.1,False
TT,76,36.2,69.67,0.5196,True,True,True,True,True,False,True,False,False,466.6,452.26,428.78,426.09,-5.3,0.09,-4.4,False
MRNA,77,35.35,98.95,0.3572,True,True,True,True,False,True,True,True,False,49.04,51.35,40.07,36.57,-15.2,-9.77,-9.8,False
AEP,78,35.07,53.56,0.6547,True,True,True,True,False,False,True,False,False,125.15,131.54,122.83,119.31,-8.1,-3.85,-8.0,False
MO,80,34.26,56.7,0.6043,True,False,True,True,True,True,True,True,False,73.09,67.05,62.23,62.34,-2.0,7.3,-0.4,False
WAB,81,33.49,56.49,0.5928,True,True,True,True,True,True,True,False,False,263.9,256.2,232.86,222.74,-2.6,-0.68,-2.4,False
FRT,82,32.68,44.44,0.7352,True,True,True,True,True,False,True,True,False,113.16,108.84,102.45,100.52,-3.1,-2.18,-3.1,True
NEE,83,31.22,47.75,0.6537,True,True,True,True,True,True,True,False,False,93.36,93.09,87.25,83.62,-4.6,0.28,-3.0,False
NI,84,30.94,41.55,0.7447,True,True,True,True,False,False,True,False,False,46.3,46.94,44.24,43.48,-4.1,-0.9,-3.9,False
WELL,85,30.8,50.64,0.6082,True,True,True,True,True,True,True,False,False,213.74,207.05,195.73,188.44,-2.9,-0.07,-2.9,False
PNW,86,30.09,44.94,0.6695,True,True,True,True,False,False,True,False,False,98.4,100.62,93.64,92.0,-5.0,-0.86,-3.4,False
FTNT,88,29.63,82.07,0.3611,True,True,False,True,True,True,True,True,False,122.78,87.69,83.59,83.3,0.0,7.64,0.0,False
LNT,90,28.28,39.38,0.718,True,True,True,True,False,False,True,False,False,70.9,71.57,68.17,67.13,-4.3,-1.2,-3.8,False
EIX,94,27.47,60.57,0.4536,True,True,True,True,False,True,True,False,False,69.16,70.72,63.53,60.85,-8.8,0.3,-3.0,False
MGM,95,26.87,43.79,0.6135,True,False,True,True,False,False,True,True,False,36.97,37.49,35.52,35.6,-8.8,-4.69,-4.7,False
REG,96,26.72,41.55,0.643,True,True,True,True,False,False,True,False,False,76.06,77.66,72.93,72.17,-6.2,-1.97,-3.8,False
XOM,97,26.15,61.77,0.4234,True,True,True,True,True,True,True,False,False,157.92,154.96,135.45,128.92,-7.9,9.23,0.0,False
ATO,98,25.36,41.79,0.6068,True,True,True,True,False,False,True,False,False,176.48,185.3,176.44,173.22,-8.2,-2.43,-6.0,False
CVX,99,25.02,56.64,0.4417,True,True,True,True,False,True,True,True,False,191.1,193.05,171.11,166.41,-9.5,5.22,-0.8,False
VTR,100,24.79,44.43,0.5579,True,True,True,True,True,True,True,False,False,87.45,85.03,79.94,76.74,-3.2,0.22,-3.2,False
SBAC,101,24.24,64.42,0.3764,True,False,False,True,False,False,True,False,False,199.62,201.78,194.4,196.52,-15.1,-8.5,-8.7,False
EVRG,104,21.1,35.36,0.5967,True,True,True,True,False,False,True,False,False,80.5,81.86,77.86,76.27,-4.6,-1.57,-3.5,False
ANET,105,21.07,70.74,0.2979,True,False,True,True,False,True,True,False,False,141.97,146.18,139.06,139.26,-20.1,0.14,-17.8,False
VZ,106,20.85,61.86,0.3371,True,True,True,True,False,False,True,False,False,46.37,48.01,43.42,42.92,-8.4,-1.8,-3.3,False
ALB,108,19.47,54.62,0.3564,True,True,True,True,False,True,True,True,False,180.38,182.86,154.02,135.49,-16.3,-11.37,-14.1,False
DDOG,109,19.33,93.5,0.2068,True,True,True,False,True,True,True,True,False,207.98,136.07,140.72,139.95,0.0,3.91,0.0,False
LYV,110,19.21,40.05,0.4796,True,False,True,True,True,True,True,True,False,168.87,158.36,149.81,152.7,-3.0,3.42,-0.7,False
CNP,111,18.44,35.93,0.5132,True,True,True,True,False,False,True,False,False,41.53,42.91,40.58,39.89,-5.9,-0.46,-4.6,False
DTE,112,18.12,35.47,0.5108,True,True,True,True,False,False,True,False,False,139.78,146.01,138.58,137.79,-7.9,-0.58,-4.7,False
AEE,113,18.12,32.04,0.5654,True,True,True,True,False,False,True,False,False,106.36,110.62,105.43,103.94,-7.0,-2.48,-5.4,False
TPL,114,18.07,101.78,0.1776,True,True,True,True,False,True,False,False,False,385.17,458.12,380.06,361.33,-28.6,-2.29,-11.0,False
ALL,115,17.53,29.85,0.5873,True,True,True,True,True,False,True,True,False,217.37,211.54,205.75,205.2,-1.1,1.98,-1.1,False
UNP,116,16.49,41.9,0.3936,True,True,True,True,True,False,True,False,False,270.56,252.75,240.08,235.38,-0.3,2.23,0.0,False
MAR,117,15.83,38.62,0.41,True,True,True,True,True,True,True,False,False,353.17,344.23,318.64,304.91,-6.7,-0.0,-1.6,False
VTRS,120,14.63,55.0,0.266,True,True,True,True,True,True,True,False,False,16.48,14.47,12.92,12.14,-5.2,-4.02,-5.2,True
NTAP,123,13.13,38.37,0.3423,True,False,True,False,True,False,True,True,False,119.93,105.37,106.8,108.55,-3.7,1.64,0.0,False
WMT,124,13.13,29.0,0.4527,True,True,True,True,True,True,True,False,False,131.45,126.37,117.92,113.57,-1.4,0.78,-0.8,False
PLD,125,13.1,29.86,0.4388,True,True,True,True,True,True,True,False,False,140.53,137.01,130.98,125.52,-3.1,-2.47,-2.5,True
FTV,130,11.9,31.74,0.375,True,True,True,True,True,False,True,False,False,58.72,58.1,55.31,53.53,-5.3,-2.83,-3.6,True
SRE,131,11.89,28.67,0.4148,False,True,True,True,False,False,True,False,False,90.43,94.52,91.33,89.1,-9.3,-1.2,-4.2,False
SO,132,10.86,27.59,0.3936,True,False,True,True,False,False,True,False,False,92.55,95.3,91.79,91.83,-6.6,0.82,-3.6,False
TSN,133,10.56,27.98,0.3774,True,True,True,True,True,True,True,False,False,65.79,63.9,59.72,58.32,-4.3,-3.79,-4.3,True
COST,134,10.17,20.64,0.4925,True,True,True,True,True,False,True,False,False,1048.95,1000.32,953.16,951.96,-0.2,3.98,0.0,False
EG,135,10.17,23.76,0.4283,True,False,True,True,True,False,True,False,False,351.67,336.23,330.04,332.31,-3.0,0.04,-0.1,False
XYZ,137,9.9,54.77,0.1808,True,False,False,False,True,True,True,True,False,70.36,65.71,65.15,67.9,-13.3,-6.0,-6.0,True
TRV,138,9.38,24.2,0.3879,True,True,True,True,True,False,True,False,False,299.76,299.26,289.14,284.48,-3.6,0.58,-0.6,False
